For 30
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     7.4     7.2     6.6     7
0.41    7.4     7       6.4     6.6
0.42    7.2     7.2     6.6     6.8
0.43    8       7.2     6.6     7
0.44    7.8     7.6     7       7
0.45    7.4     7.6     7       6.4
0.46    8.4     7.8     6.8     7
0.47    8.4     8.2     7.6     7
0.48    7.4     7.4     7       7
0.49    8.4     8.4     7.4     7.2
0.5     8.6     8.6     8.4     8
0.51    8.6     8.2     7.2     7.4
0.52    8.6     8.6     7.8     7.2
0.53    9       9.6     8       7.8
0.54    9       8.8     8.4     7.8
0.55    9.4     9.4     8.2     7.8
0.56    9.8     9.4     8       8
0.57    10.2    9.6     8.2     8.2
0.58    9.2     9       8.6     8.4
0.59    9.8     9.6     8.6     8
0.6     9.2     9.8     8.6     8.6
For 35
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     7.6     7.8     7.4     6.4
0.41    8.4     7.8     7.2     6.8
0.42    8.4     8       7       7.8
0.43    8.2     8.2     7.6     7.6
0.44    8.4     8.2     7.6     7.4
0.45    9.4     9.2     8       7.4
0.46    9       8.6     8       7.8
0.47    8.8     9.2     7.8     7.8
0.48    8.8     8.6     8       8
0.49    9.2     9.2     8.2     7.6
0.5     9.6     9.4     8.2     7.4
0.51    9.8     9.6     8.6     8.4
0.52    10      10      8.2     8.2
0.53    9.8     9.6     8.8     7.8
0.54    10.2    9.8     8.8     7.8
0.55    10.6    10.2    9       8.8
0.56    10.4    9.8     9.2     8.4
0.57    11      10.4    9       8.4
0.58    10      10.6    9.2     9.2
0.59    11      10.6    9.4     8.8
0.6     11      11      8.6     8.4
For 40
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     9.2     8.8     8       7.8
0.41    9       8.6     8.2     7.4
0.42    9.2     9       8.2     8
0.43    9       9       8.4     8
0.44    9.4     9.4     8       8
0.45    9.8     9.6     8.8     8.4
0.46    10      9.2     8.6     8
0.47    9.8     9.4     8.8     8.8
0.48    10.6    10.2    8.8     8.2
0.49    10.4    10.2    9.2     9
0.5     10.4    9.8     9       8.4
0.51    10.6    9.4     9.4     8.4
0.52    10.8    10.2    10      8.8
0.53    11      10.4    9.2     8.8
0.54    11.4    11      10      9
0.55    11      10.2    9.8     9
0.56    11.4    11      9.8     9.4
0.57    11.8    11.2    10.2    9.2
0.58    12      11      9.6     8.4
0.59    12.2    11.4    10      9.2
0.6     12.2    12.4    10      9.2
For 45
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     9.8     8.8     8.4     8
0.41    10.2    9.4     8.4     8
0.42    10.2    9.8     8.6     8.6
0.43    9.8     9       9       8.4
0.44    10.2    10      9.2     8.4
0.45    10.4    9.6     9.2     8.8
0.46    11      10.6    9.6     8.4
0.47    10.6    9.6     9       8.2
0.48    10.8    10.2    9.8     9.2
0.49    11.2    10.6    9.8     9
0.5     11.2    10.2    9.6     9.2
0.51    11.2    10.8    10.4    9.2
0.52    11.8    11.2    10.4    9.4
0.53    12.6    11.2    10.2    9.4
0.54    12.4    11.8    10.6    9
0.55    13      12.6    10.6    9.2
0.56    12      11.8    10.6    9.4
0.57    12.8    12      10.8    9.2
0.58    13      12      11      8.4
0.59    13.2    13      11      9
0.6     13.4    12.4    11.4    8.2
For 50
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     10      9.6     9       8.8
0.41    10.6    9.6     9.4     8.2
0.42    10.8    10      10      9.2
0.43    11.2    10.6    9.4     8.4
0.44    11      10      9.4     9.2
0.45    11.2    11.2    10      9.2
0.46    11.4    10.8    10.2    9
0.47    11.4    11      10.8    8.8
0.48    11.8    10.6    10.2    9.4
0.49    12      11      10.6    9
0.5     12.2    11.4    10.6    9.6
0.51    12.4    11.4    10.4    9.8
0.52    12.8    12.6    11      8.8
0.53    12.8    11.4    10.8    8.8
0.54    13.2    12      11      9.8
0.55    14      12.6    10.6    8.6
0.56    13.6    12.6    11.6    8.8
0.57    14.2    13.2    11.4    9.4
0.58    13.8    12.4    10.8    9
0.59    14      13.4    11      8.2
0.6     14.6    13.6    11.6    7.8
For 55
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     10.6    10      9.4     9.2
0.41    11      10.4    10      8.8
0.42    11.4    10.8    10.4    9.4
0.43    11.2    10.8    10      9.4
0.44    11.8    11.2    10.2    9.6
0.45    12      11.6    10.6    9.6
0.46    12.4    11.4    10.8    9.6
0.47    13      11.6    11      9.2
0.48    13      12.2    10.8    9.2
0.49    12.4    11.8    10.8    9.4
0.5     13.4    12.6    11.4    9.6
0.51    14      13      11.4    9
0.52    13.6    12.8    11.4    9
0.53    13.8    12      12.2    9.6
0.54    14      12.8    12.2    8
0.55    14.4    13.6    11.8    9
0.56    14.6    13.2    11.8    9
0.57    14.8    13.4    12      8.6
0.58    14.6    14.4    12.2    8
0.59    15.2    14.2    12.2    8
0.6     15      14.4    12.2    7.6
For 60
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     12      10.8    10.2    9.2
0.41    12      11.6    10.8    9.6
0.42    12      11.2    10.8    8.6
0.43    12.2    11.2    10.6    10.2
0.44    12.4    11.4    11.2    9.8
0.45    12.6    12.4    11.2    9.8
0.46    13.4    12      10.8    9.6
0.47    13      12      11.8    9.4
0.48    13.2    12.6    11      9.4
0.49    13.6    12.8    11.8    8.4
0.5     13.8    13.2    11.4    9.2
0.51    13.8    13.2    11.6    8.4
0.52    14.2    12.8    12.2    7.6
0.53    14.2    13.2    12      8.2
0.54    15.4    13.8    12      8.8
0.55    14.8    14.2    12.4    8.2
0.56    15.8    14      12      8
0.57    15.6    14.2    12.4    7.4
0.58    15.8    15.4    12.6    7.4
0.59    16.2    14.8    12.4    7.8
0.6     16.6    15.4    12.6    7
For 65
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     12.4    12.2    10.4    10
0.41    13      11.6    10.4    9.4
0.42    13.2    12      11.6    9
0.43    12.2    12.6    11      9.6
0.44    13.8    12      11.2    9.2
0.45    13.4    12.4    12      9.8
0.46    14      12.4    11.6    8.6
0.47    14.2    12.8    11.8    9.2
0.48    14.2    12.6    12      8.6
0.49    14.6    14.2    12      9
0.5     15      13.8    12.8    8.4
0.51    15.6    13.6    12.6    8.2
0.52    15      14.4    12.8    7.6
0.53    15      14.6    13.2    8
0.54    16.2    15      12.4    7.4
0.55    15.2    14.4    13      7.4
0.56    16.4    14.4    12.6    8.2
0.57    16.6    15.4    13.4    7.2
0.58    16.8    15.4    13.6    7.6
0.59    17.6    16.6    13.2    7.6
0.6     17.8    16      13.2    7.4
For 70
p       GoldUpperBound  GnewUpperBound  G7oldUpperBound G7newUpperBound

0.4     13      12.2    11.4    10
0.41    13      12      11.8    10
0.42    13.6    12.6    11.6    10.2
0.43    14      12.6    11.8    9.6
0.44    13.6    12.6    11.6    9
0.45    14      13      12      9.4
0.46    15.2    13.8    12.4    8.6
0.47    14.4    13.6    12.8    8.4
0.48    15      13.6    12      8.6
0.49    15      14.6    13.2    8.8
0.5     15.6    14      13.4    8.6
0.51    16.2    14.8    13.2    8
0.52    16.6    15.2    12.6    8.4
0.53    16.6    15      13      7.2
0.54    16.4    15.4    14      7.2
0.55    16.6    16      12.6    7.4
0.56    17.6    15.8    13.8    7.4
0.57    18      15.6    13.8    7.2
0.58    18.2    16.4    13.8    7
0.59    17.8    16.4    14.2    7.2
0.6     18.4    17.6    13.4    7.2
