p	GoldUpperBound	GnewUpperBound	dGBound	G7oldUpperBound	G7newUpperBound	dG7bound
0.4	13	12.2	0.8	11.4	10	1.4
0.41	13	12	1	11.8	10	1.8
0.42	13.6	12.6	1	11.6	10.2	1.4
0.43	14	12.6	1.4	11.8	9.6	2.2
0.44	13.6	12.6	1	11.6	9	2.6
0.45	14	13	1	12	9.4	2.6
0.46	15.2	13.8	1.4	12.4	8.6	3.8
0.47	14.4	13.6	0.8	12.8	8.4	4.4
0.48	15	13.6	1.4	12	8.6	3.4
0.49	15	14.6	0.4	13.2	8.8	4.4
0.5	15.6	14	1.6	13.4	8.6	4.8
0.51	16.2	14.8	1.4	13.2	8	5.2
0.52	16.6	15.2	1.4	12.6	8.4	4.2
0.53	16.6	15	1.6	13	7.2	5.8
0.54	16.4	15.4	1	14	7.2	6.8
0.55	16.6	16	0.6	12.6	7.4	5.2
0.56	17.6	15.8	1.8	13.8	7.4	6.4
0.57	18	15.6	2.4	13.8	7.2	6.6
0.58	18.2	16.4	1.8	13.8	7	6.8
0.59	17.8	16.4	1.4	14.2	7.2	7
0.6	18.4	17.6	0.8	13.4	7.2	6.2
