n	averageSecondsToComputeAsc	averageSecondsToComputeDsc	averageSecondsToComputeMinimalAmong	averageSecondsToComputeRandom
20	3.46E-05	3.52E-05	3.47E-05	3.23E-05
25	6.22E-05	6.25E-05	6.08E-05	6.20E-05
30	8.63E-05	8.14E-05	8.22E-05	9.64E-05
35	0.000162697	0.000167737	0.00017221	0.000165817
40	0.000228513	0.000226617	0.00022686	0.00022836
45	0.000350577	0.000354387	0.000344963	0.00034324
50	0.000640957	0.000692523	0.000636133	0.000642717
55	0.00072755	0.000711537	0.000708897	0.00071852
60	0.00101093	0.00095677	0.000943177	0.00094851
65	0.001292803	0.001258853	0.00126301	0.00243685
70	0.00212574	0.0021674	0.00218739	0.00219301
75	0.003130227	0.002839803	0.002790887	0.003001933
80	0.00383725	0.003540157	0.003423223	0.003536997
85	0.00442636	0.00442947	0.004669633	0.004504883
90	0.005639553	0.005665237	0.00535029	0.005458217
95	0.00713876	0.00745958	0.00706881	0.006868797
100	0.008142673	0.007971887	0.008813523	0.008202823
